Unnamed: 1,precision,recall,f1-score,support,Total Model Accuracy
Transportation and warehousing,0.87,0.41,0.55,32,0.8027681660899654
Wholesale trade,0.79,0.67,0.72,187,0.8027681660899654
Manufacturing,0.81,0.94,0.87,570,0.8027681660899654
Retail trade,0.8,0.56,0.66,118,0.8027681660899654
Energy,0.96,0.63,0.76,38,0.8027681660899654
Construction,0.77,0.77,0.77,211,0.8027681660899654
accuracy,,,0.8,1156,0.8027681660899654
macro avg,0.83,0.66,0.72,1156,0.8027681660899654
weighted avg,0.8,0.8,0.79,1156,0.8027681660899654
